Combination of Genres,Average Revenue
Science Fiction|Comedy|Family|Fantasy,65088797.0
Family|Fantasy|Science Fiction|Adventure|Comedy,65079104.0
Fantasy|Animation|Family,65006702.428571425
Science Fiction|Comedy|Adventure,64780213.0
Science Fiction|Thriller|Horror,64514132.2
History|Romance|Drama,64249602.5
Adventure|Comedy|Animation,64241499.0
Crime|Drama|Action|Thriller,64141314.5
Horror|Thriller|Mystery|Science Fiction,64110728.0
Action|Science Fiction|Animation,63867747.0
Crime|Thriller|Romance|Drama,63848322.0
Comedy|Music|Romance|Drama,63464861.0
Action|Adventure|Romance|Science Fiction|Thriller,63327201.0
Romance|Adventure|Drama,62832209.0
Music|Drama|Romance|Family,62646763.0
Crime|Action|Comedy,62231347.666666664
Comedy|Adventure|Action,62051838.0
Action|Crime|Thriller|Horror,62022014.0
Drama|History|War,61801896.384615384
Animation|Action|Fantasy|Adventure,61793529.4
Family|Animation|Adventure|Comedy|War,61746888.0
Adventure|Action|Drama|History,61700000.0
Fantasy|Action|Comedy|Crime,61648500.0
Romance|Animation|Fantasy,61631776.0
Comedy|Family|Fantasy,61631008.9375
Drama|Thriller|Horror,61446380.25
